Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	Estimates Start After
Cameroon	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,552.47	1,338.60	1,377.85	1,441.55	1,555.67	1,523.66	1,493.12	1,657.08	1,732.48	1,811.66	1,901.72	1,994.37	2010
Canada	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	51,020.84	43,626.47	42,382.73	45,205.03	46,391.05	46,271.72	42,080.05	45,870.64	48,308.05	50,520.91	52,602.94	54,726.41	2019
Central African Republic	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	424.67	377.476	402.053	450.744	488.589	479.863	480.49	521.753	554.245	586.26	617.746	650.074	2004
Chad	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,024.84	776.105	700.558	671.18	713.034	685.677	639.847	710.177	749.266	781.699	811.874	842.268	2017
Chile	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	14,644.04	13,571.92	13,781.40	15,037.65	15,903.01	14,772.11	12,612.32	14,208.69	15,282.56	16,241.74	17,111.94	17,947.19	2019
China	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	7,694.15	8,084.80	8,119.62	8,823.46	9,919.81	10,286.58	10,582.10	11,712.85	12,706.83	13,799.14	14,981.57	16,242.18	2018
Colombia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	7,998.84	6,088.68	5,799.62	6,327.39	6,692.12	6,423.18	5,207.24	5,456.71	5,713.40	5,999.32	6,299.50	6,614.74	2019
Comoros	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,505.18	1,231.14	1,256.04	1,300.57	1,386.01	1,362.42	1,336.95	1,431.08	1,486.16	1,541.03	1,594.49	1,651.21	2015
Democratic Republic of the Congo	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	425.329	435.979	409.046	407.705	495.635	508.953	456.892	477.888	489.987	502.834	517.742	532.956	2019
Republic of Congo	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	4,438.24	2,873.72	2,395.18	2,555.44	3,007.47	2,745.80	2,128.23	2,271.21	2,344.16	2,427.76	2,479.09	2,544.13	2017
